,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,18S,NTC,,,NaN,0,0,NaN,NaN,0,0,60,
,A02,SYBR,18S,NTC,,,NaN,0,0,NaN,NaN,0,0,60,
,A03,SYBR,18S,NTC,,,NaN,0,0,NaN,NaN,0,0,60,
,A04,SYBR,18S,NTC,,,37.7477694828614,37.7477694828614,0,NaN,NaN,NaN,0,60,
,A05,SYBR,18S,NTC,,,NaN,0,0,NaN,NaN,0,0,60,
,A06,SYBR,18S,NTC,,,NaN,0,0,NaN,NaN,0,0,60,
,A07,SYBR,18S,NTC,,,NaN,0,0,NaN,NaN,0,0,60,
,A08,SYBR,18S,NTC,,,NaN,0,0,NaN,NaN,0,0,60,
,A09,SYBR,18S,NTC,,,NaN,0,0,NaN,NaN,0,0,60,
,A10,SYBR,18S,NTC,,,NaN,0,0,NaN,NaN,0,0,60,
,A11,SYBR,18S,NTC,,,NaN,0,0,NaN,NaN,0,0,60,
,A12,SYBR,18S,NTC,,,NaN,0,0,NaN,NaN,0,0,60,
,B01,SYBR,18S,Std-01,,,16.2278772507485,16.2589963992613,0.0554275873908053,100000000,8,100000000,0,60,
,B02,SYBR,18S,Std-01,,,16.2261213124697,16.2589963992613,0.0554275873908053,100000000,8,100000000,0,60,
,B03,SYBR,18S,Std-01,,,16.3229906345658,16.2589963992613,0.0554275873908053,100000000,8,100000000,0,60,
,B04,SYBR,18S,Unkn-01,001N,,21.0491581973602,21.0290603747331,0.0517425607514912,1298748.23922937,6.11352497177333,1318270.18009465,49500.3249552199,60,
,B05,SYBR,18S,Unkn-01,001N,,21.0677387733942,21.0290603747331,0.0517425607514912,1281507.47333694,6.10772114319255,1318270.18009465,49500.3249552199,60,
,B06,SYBR,18S,Unkn-01,001N,,20.970284153445,21.0290603747331,0.0517425607514912,1374554.82771764,6.1381620674973,1318270.18009465,49500.3249552199,60,
,B07,SYBR,18S,Unkn-08,004S,,23.574811208145,23.7362832833274,0.343207698012249,211160.177116674,5.32461201760607,191671.799303612,43719.708785435,60,
,B08,SYBR,18S,Unkn-08,004S,,23.5035921353123,23.7362832833274,0.343207698012249,222258.309423315,5.34685800662418,191671.799303612,43719.708785435,60,
,B09,SYBR,18S,Unkn-08,004S,,24.1304465065249,23.7362832833274,0.343207698012249,141596.911370846,5.15105378026598,191671.799303612,43719.708785435,60,
,B10,SYBR,18S,Unkn-15,006D,,16.2389953069385,16.5768319460719,0.361879530302203,41307357.5257014,7.61602741359889,33120915.9795171,8350343.60551366,60,
,B11,SYBR,18S,Unkn-15,006D,,16.5327793793748,16.5768319460719,0.361879530302203,33439596.0936075,7.52426102309183,33120915.9795171,8350343.60551366,60,
,B12,SYBR,18S,Unkn-15,006D,,16.9587211519025,16.5768319460719,0.361879530302203,24615794.3192423,7.39121385444547,33120915.9795171,8350343.60551366,60,
,C01,SYBR,18S,Std-02,,,17.6859987011907,17.680833662632,0.117681145066738,10000000,7,10000000,0,60,
,C02,SYBR,18S,Std-02,,,17.7958472473984,17.680833662632,0.117681145066738,10000000,7,10000000,0,60,
,C03,SYBR,18S,Std-02,,,17.5606550393069,17.680833662632,0.117681145066738,10000000,7,10000000,0,60,
,C04,SYBR,18S,Unkn-02,003N,,20.7547130176373,20.7863259608378,0.171633586292427,1605084.37021324,6.20549786574713,1576893.40362199,191078.284029076,60,
,C05,SYBR,18S,Unkn-02,003N,,20.6326964436097,20.7863259608378,0.171633586292427,1752310.09059383,6.24361096183056,1576893.40362199,191078.284029076,60,
,C06,SYBR,18S,Unkn-02,003N,,20.9715684212665,20.7863259608378,0.171633586292427,1373285.7500589,6.1377609136109,1576893.40362199,191078.284029076,60,
,C07,SYBR,18S,Unkn-09,005S,,20.7368421632151,20.9608163565711,0.234544686626175,1625848.24178289,6.21108000569094,1397012.47195662,232342.145780147,60,
,C08,SYBR,18S,Unkn-09,005S,,20.9409403402969,20.9608163565711,0.234544686626175,1403873.25599125,6.14732790073661,1397012.47195662,232342.145780147,60,
,C09,SYBR,18S,Unkn-09,005S,,21.2046665662014,20.9608163565711,0.234544686626175,1161315.91809573,6.06495037893086,1397012.47195662,232342.145780147,60,
,C10,SYBR,18S,Unkn-16,HE,,NaN,0,0,NaN,NaN,0,0,60,
,C11,SYBR,18S,Unkn-16,HE,,NaN,0,0,NaN,NaN,0,0,60,
,C12,SYBR,18S,Unkn-16,HE,,NaN,0,0,NaN,NaN,0,0,60,
,D01,SYBR,18S,Std-03,,,20.4392297185855,20.5305851430333,0.0797356201751411,1000000,6,1000000,0,60,
